Modality,Source,Beam Size,Revision_Rounds,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
C&H,evaluation_NMRBank_1000_20_5_rmse_631,20,5,0.599,0.691,0.71,0.739,0.7642,0.796,0.8057,0.8198
C&H,nmr2mol,20,-,0.437,0.566,0.595,0.638,0.6755,0.7416,0.7588,0.7842
C,evaluation_NMRBank_1000_10_5_rmse_82,10,1,0.478,0.566,0.582,0.596,0.6587,0.7015,0.7152,0.7265
C,evaluation_NMRBank_1000_10_5_rmse_82,10,2,0.485,0.572,0.589,0.602,0.664,0.7041,0.7165,0.728
C,evaluation_NMRBank_1000_10_5_rmse_82,10,3,0.484,0.57,0.588,0.6,0.6659,0.7033,0.7147,0.7261
C,evaluation_NMRBank_1000_10_5_rmse_82,10,4,0.484,0.569,0.588,0.599,0.6651,0.7012,0.7135,0.7257
C,evaluation_NMRBank_1000_10_5_rmse_82,10,5,0.484,0.568,0.587,0.599,0.6647,0.7004,0.7132,0.7255
C,nmr2mol,10,-,0.299,0.417,0.458,0.505,0.5586,0.6378,0.6643,0.693
C,evaluation_NMRBank_1000_15_5_rmse_82,15,1,0.485,0.578,0.595,0.612,0.6757,0.7172,0.7287,0.7425
C,evaluation_NMRBank_1000_15_5_rmse_82,15,2,0.488,0.578,0.597,0.617,0.6776,0.7163,0.7291,0.7438
C,evaluation_NMRBank_1000_15_5_rmse_82,15,3,0.487,0.578,0.598,0.614,0.6791,0.7151,0.7275,0.7415
C,evaluation_NMRBank_1000_15_5_rmse_82,15,4,0.487,0.577,0.597,0.613,0.6785,0.7156,0.7278,0.7407
C,evaluation_NMRBank_1000_15_5_rmse_82,15,5,0.487,0.576,0.596,0.612,0.6781,0.7142,0.7279,0.7401
C,nmr2mol,15,-,0.299,0.417,0.459,0.505,0.565,0.6455,0.6726,0.7017
C,evaluation_NMRBank_1000_20_5_rmse_82,20,1,0.493,0.58,0.6,0.618,0.6808,0.7182,0.7332,0.7471
C,evaluation_NMRBank_1000_20_5_rmse_82,20,2,0.5,0.586,0.604,0.625,0.6852,0.7212,0.735,0.7483
C,evaluation_NMRBank_1000_20_5_rmse_82,20,3,0.496,0.585,0.602,0.621,0.684,0.7202,0.7332,0.7457
C,evaluation_NMRBank_1000_20_5_rmse_82,20,4,0.497,0.584,0.603,0.618,0.6851,0.7194,0.7331,0.7452
C,evaluation_NMRBank_1000_20_5_rmse_82,20,5,0.497,0.583,0.603,0.618,0.6842,0.7186,0.7329,0.7449
C,nmr2mol,20,-,0.299,0.417,0.459,0.506,0.5684,0.6489,0.676,0.7058
H,evaluation_NMRBank_1000_10_5_rmse_64,10,1,0.435,0.554,0.589,0.605,0.65,0.7084,0.723,0.731
H,evaluation_NMRBank_1000_10_5_rmse_64,10,2,0.432,0.551,0.59,0.61,0.6476,0.707,0.725,0.735
H,evaluation_NMRBank_1000_10_5_rmse_64,10,3,0.432,0.549,0.59,0.61,0.6476,0.705,0.7259,0.7348
H,evaluation_NMRBank_1000_10_5_rmse_64,10,4,0.433,0.549,0.588,0.609,0.6476,0.7049,0.7246,0.7345
H,evaluation_NMRBank_1000_10_5_rmse_64,10,5,0.433,0.548,0.587,0.609,0.6476,0.7044,0.7243,0.7345
H,nmr2mol,10,-,0.325,0.44,0.474,0.516,0.5815,0.6499,0.6724,0.7002
H,evaluation_NMRBank_1000_15_5_rmse_64,15,1,0.442,0.547,0.592,0.616,0.66,0.7136,0.7341,0.7482
H,evaluation_NMRBank_1000_15_5_rmse_64,15,2,0.434,0.547,0.587,0.618,0.654,0.7128,0.7312,0.7482
H,evaluation_NMRBank_1000_15_5_rmse_64,15,3,0.435,0.544,0.58,0.616,0.6531,0.7082,0.7279,0.7483
H,evaluation_NMRBank_1000_15_5_rmse_64,15,4,0.433,0.542,0.58,0.616,0.6523,0.7075,0.727,0.7482
H,evaluation_NMRBank_1000_15_5_rmse_64,15,5,0.433,0.542,0.579,0.612,0.6524,0.7075,0.7263,0.7463
H,nmr2mol,15,-,0.325,0.44,0.475,0.517,0.5856,0.6569,0.68,0.7077
H,evaluation_NMRBank_1000_20_5_rmse_64,20,1,0.445,0.555,0.602,0.633,0.6645,0.7236,0.7446,0.7614
H,evaluation_NMRBank_1000_20_5_rmse_64,20,2,0.436,0.551,0.591,0.623,0.6582,0.7178,0.7388,0.7592
H,evaluation_NMRBank_1000_20_5_rmse_64,20,3,0.434,0.547,0.583,0.619,0.6561,0.7145,0.7355,0.7573
H,evaluation_NMRBank_1000_20_5_rmse_64,20,4,0.435,0.548,0.583,0.617,0.6578,0.7151,0.7352,0.7568
H,evaluation_NMRBank_1000_20_5_rmse_64,20,5,0.434,0.548,0.583,0.616,0.6561,0.7142,0.7339,0.7563
H,nmr2mol,20,-,0.325,0.44,0.475,0.516,0.5902,0.662,0.6853,0.713
