Modality,Source,Beam Size,Revision_Rounds,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
H,evaluation_NMRExp_1000_10_5_rmse_64,10,5,0.487,0.623,0.673,0.71,0.7705,0.8249,0.8448,0.8593
H,nmr2mol,10,-,0.34,0.487,0.528,0.59,0.6547,0.7429,0.7694,0.8016
H,evaluation_NMRExp_1000_15_5_rmse_64,15,1,0.486,0.625,0.673,0.722,0.7726,0.8315,0.8517,0.8693
H,evaluation_NMRExp_1000_15_5_rmse_64,15,2,0.484,0.625,0.676,0.72,0.7683,0.8327,0.8557,0.8699
H,evaluation_NMRExp_1000_15_5_rmse_64,15,3,0.483,0.626,0.673,0.72,0.7649,0.8325,0.8525,0.8684
H,evaluation_NMRExp_1000_15_5_rmse_64,15,4,0.483,0.627,0.674,0.721,0.7648,0.831,0.8517,0.8678
H,evaluation_NMRExp_1000_15_5_rmse_64,15,5,0.484,0.628,0.673,0.722,0.7655,0.8311,0.8504,0.8684
H,nmr2mol,15,-,0.34,0.487,0.528,0.591,0.6553,0.744,0.7706,0.8054
H,evaluation_NMRExp_1000_20_5_rmse_64,20,1,0.485,0.623,0.673,0.718,0.7709,0.8359,0.8576,0.8747
H,evaluation_NMRExp_1000_20_5_rmse_64,20,2,0.484,0.619,0.669,0.716,0.7665,0.8323,0.8601,0.876
H,evaluation_NMRExp_1000_20_5_rmse_64,20,3,0.483,0.621,0.669,0.715,0.7634,0.8337,0.857,0.8741
H,evaluation_NMRExp_1000_20_5_rmse_64,20,4,0.482,0.619,0.667,0.715,0.7624,0.8317,0.8538,0.8741
H,evaluation_NMRExp_1000_20_5_rmse_64,20,5,0.482,0.618,0.666,0.714,0.7619,0.8308,0.8527,0.8724
H,nmr2mol,20,-,0.34,0.487,0.528,0.59,0.6572,0.7461,0.7729,0.8074
