Modality,Source,Beam Size,Revision_Rounds,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
C,evaluation_USPTO-NMR_1000_10_5_rmse_82,10,4,0.672,0.784,0.804,0.818,0.865,0.8918,0.8996,0.9058
C,evaluation_USPTO-NMR_1000_10_5_rmse_82,10,5,0.672,0.784,0.803,0.818,0.8651,0.8917,0.899,0.9058
C,nmr2mol,10,-,0.471,0.616,0.656,0.717,0.7383,0.8178,0.8394,0.8649
C,evaluation_USPTO-NMR_1000_15_5_rmse_82,15,1,0.685,0.792,0.813,0.828,0.8776,0.9025,0.9096,0.9159
C,evaluation_USPTO-NMR_1000_15_5_rmse_82,15,2,0.684,0.799,0.821,0.837,0.8784,0.9066,0.9146,0.9211
C,evaluation_USPTO-NMR_1000_15_5_rmse_82,15,3,0.684,0.797,0.819,0.836,0.8789,0.9066,0.9151,0.9216
C,evaluation_USPTO-NMR_1000_15_5_rmse_82,15,4,0.685,0.798,0.819,0.836,0.8793,0.9067,0.9138,0.9213
C,evaluation_USPTO-NMR_1000_15_5_rmse_82,15,5,0.685,0.798,0.819,0.835,0.8795,0.9065,0.9138,0.9205
C,nmr2mol,15,-,0.471,0.616,0.656,0.723,0.7401,0.8201,0.8419,0.8709
C,evaluation_USPTO-NMR_1000_20_5_rmse_82,20,1,0.69,0.8,0.825,0.84,0.8853,0.9094,0.9198,0.9259
C,evaluation_USPTO-NMR_1000_20_5_rmse_82,20,2,0.69,0.806,0.828,0.849,0.8858,0.9135,0.9226,0.9308
C,evaluation_USPTO-NMR_1000_20_5_rmse_82,20,3,0.69,0.808,0.83,0.85,0.8862,0.9157,0.9245,0.9328
C,evaluation_USPTO-NMR_1000_20_5_rmse_82,20,4,0.693,0.811,0.832,0.853,0.888,0.9164,0.9251,0.9334
C,evaluation_USPTO-NMR_1000_20_5_rmse_82,20,5,0.693,0.811,0.831,0.852,0.8886,0.9172,0.9247,0.9327
C,nmr2mol,20,-,0.471,0.616,0.656,0.723,0.7414,0.8216,0.8434,0.8726
H,evaluation_USPTO-NMR_1000_10_5_rmse_64,10,1,0.661,0.805,0.838,0.876,0.8575,0.9176,0.93,0.9439
H,evaluation_USPTO-NMR_1000_10_5_rmse_64,10,2,0.654,0.8,0.834,0.87,0.8514,0.9128,0.9269,0.941
H,evaluation_USPTO-NMR_1000_10_5_rmse_64,10,3,0.652,0.797,0.834,0.869,0.8503,0.9106,0.9254,0.941
H,evaluation_USPTO-NMR_1000_10_5_rmse_64,10,4,0.651,0.797,0.834,0.868,0.8497,0.9106,0.9254,0.9403
H,evaluation_USPTO-NMR_1000_10_5_rmse_64,10,5,0.651,0.797,0.834,0.868,0.8498,0.9106,0.9254,0.9404
H,nmr2mol,10,-,0.608,0.745,0.779,0.812,0.8265,0.8826,0.8986,0.9172
H,evaluation_USPTO-NMR_1000_15_5_rmse_64,15,1,0.654,0.8,0.84,0.877,0.8542,0.9173,0.9318,0.9481
H,evaluation_USPTO-NMR_1000_15_5_rmse_64,15,2,0.649,0.789,0.833,0.873,0.8511,0.9111,0.9277,0.9458
H,evaluation_USPTO-NMR_1000_15_5_rmse_64,15,3,0.645,0.783,0.828,0.868,0.8482,0.9074,0.9241,0.9418
H,evaluation_USPTO-NMR_1000_15_5_rmse_64,15,4,0.644,0.782,0.826,0.867,0.8478,0.907,0.9235,0.9408
H,evaluation_USPTO-NMR_1000_15_5_rmse_64,15,5,0.644,0.781,0.826,0.867,0.8478,0.9073,0.9238,0.941
H,nmr2mol,15,-,0.608,0.745,0.779,0.812,0.8281,0.8845,0.9005,0.9195
H,evaluation_USPTO-NMR_1000_20_5_rmse_64,20,1,0.647,0.79,0.83,0.877,0.8503,0.9138,0.9309,0.9496
H,evaluation_USPTO-NMR_1000_20_5_rmse_64,20,2,0.639,0.774,0.826,0.868,0.8439,0.9068,0.9271,0.9452
H,evaluation_USPTO-NMR_1000_20_5_rmse_64,20,3,0.637,0.771,0.823,0.864,0.842,0.9055,0.9254,0.9419
H,evaluation_USPTO-NMR_1000_20_5_rmse_64,20,4,0.637,0.77,0.822,0.863,0.8418,0.9046,0.9254,0.9414
H,evaluation_USPTO-NMR_1000_20_5_rmse_64,20,5,0.637,0.769,0.822,0.863,0.8417,0.9044,0.9252,0.9412
H,nmr2mol,20,-,0.608,0.745,0.779,0.812,0.8288,0.8852,0.9013,0.9206
